product_category_name_english,total_revenue,total_orders
bed_bath_table,1712553.67,9417
health_beauty,1657373.12,8836
computers_accessories,1585330.45,6689
furniture_decor,1430176.39,6449
watches_gifts,1429216.68,5624
sports_leisure,1392127.56,7720
housewares,1094758.13,5884
auto,852294.33,3897
garden_tools,838280.75,3518
cool_stuff,779698.0,3632
office_furniture,646826.49,1273
toys,619037.69,3886
baby,539845.66,2885
perfumery,506738.66,3162
telephony,486882.05,4199
stationery,317440.07,2311
pet_shop,311268.97,1710
computers,279121.55,181
electronics,259857.1,2550
construction_tools_construction,241475.63,748
musical_instruments,233074.12,628
small_appliances,225584.38,630
fashion_bags_accessories,218158.28,1864
fixed_telephony,207010.26,217
consoles_games,195480.38,1062
luggage_accessories,187151.29,1034
home_construction,136645.29,490
furniture_living_room,136138.77,422
home_appliances_2,124563.45999999999,234
agro_industry_and_commerce,118730.61,182
home_appliances,95532.27,764
air_conditioning,91170.66,253
home_confort,84329.06,397
kitchen_dining_laundry_garden_furniture,74660.98,248
construction_tools_lights,72712.48,244
drinks,71429.65,297
signaling_and_security,68488.05,140
construction_tools_safety,65691.03,167
books_general_interest,64694.76,512
audio,60324.62,350
industry_commerce_and_business,56745.76,235
small_appliances_home_oven_and_coffee,51229.32,75
food,46428.67,450
market_place,45335.92,280
costruction_tools_garden,42394.41,194
fashion_shoes,32422.74,240
furniture_bedroom,31598.94,95
art,30992.93,202
food_drink,27289.73,227
books_technical,24915.44,260
costruction_tools_tools,21069.07,97
christmas_supplies,18994.77,128
fashion_male_clothing,17290.98,112
fashion_underwear_beach,12714.539999999999,121
tablets_printing_image,10042.93,79
cine_photo,9530.32,65
dvds_blu_ray,7935.28,59
music,6901.43,38
books_imported,6701.89,53
furniture_mattress_and_upholstery,5998.54,38
party_supplies,5966.3099999999995,39
fashio_female_clothing,5109.62,39
diapers_and_hygiene,4221.25,27
fashion_sport,3645.92,27
la_cuisine,2913.53,13
arts_and_craftmanship,2326.17,23
flowers,2213.01,29
home_comfort_2,1710.54,24
cds_dvds_musicals,1199.43,12
fashion_childrens_clothes,785.67,8
security_and_services,324.51,2
