product_category_name_english,total_revenue,total_orders,avg_review_score,review_count
bed_bath_table,1712553.67,9417,3.8990165725733017,10982
health_beauty,1657373.12,8836,4.141218189403421,9588
computers_accessories,1585330.45,6689,3.9343356463634027,7782
furniture_decor,1430176.39,6449,3.9100606060606062,8250
watches_gifts,1429216.68,5624,4.018855218855219,5940
sports_leisure,1392127.56,7720,4.106630928796178,8581
housewares,1094758.13,5884,4.054784619832321,6918
auto,852294.33,3897,4.065362595419847,4192
garden_tools,838280.75,3518,4.04449594438007,4315
cool_stuff,779698.0,3632,4.146464646464646,3762
office_furniture,646826.49,1273,3.4919499105545615,1677
toys,619037.69,3886,4.15895175116336,4083
baby,539845.66,2885,4.010855263157895,3040
perfumery,506738.66,3162,4.164757709251101,3405
telephony,486882.05,4199,3.9459219858156027,4512
stationery,317440.07,2311,4.196478591436574,2499
pet_shop,311268.97,1710,4.184305627258647,1937
computers,279121.55,181,4.175,200
electronics,259857.1,2550,4.037117903930131,2748
construction_tools_construction,241475.63,748,4.050865800865801,924
musical_instruments,233074.12,628,4.1513353115727005,674
small_appliances,225584.38,630,4.150074294205052,673
fashion_bags_accessories,218158.28,1864,4.145049504950495,2020
fixed_telephony,207010.26,217,3.681992337164751,261
consoles_games,195480.38,1062,4.023978685612788,1126
luggage_accessories,187151.29,1034,4.315257352941177,1088
home_construction,136645.29,490,3.9382303839732886,599
furniture_living_room,136138.77,422,3.9016064257028114,498
home_appliances_2,124563.45999999999,234,4.139830508474576,236
agro_industry_and_commerce,118730.61,182,4.0,212
home_appliances,95532.27,764,4.170572916666667,768
air_conditioning,91170.66,253,3.969178082191781,292
home_confort,84329.06,397,3.8402777777777777,432
kitchen_dining_laundry_garden_furniture,74660.98,248,3.974910394265233,279
construction_tools_lights,72712.48,244,4.0508474576271185,295
drinks,71429.65,297,4.037533512064343,373
signaling_and_security,68488.05,140,4.086294416243655,197
construction_tools_safety,65691.03,167,3.844559585492228,193
books_general_interest,64694.76,512,4.446265938069216,549
audio,60324.62,350,3.8305555555555557,360
industry_commerce_and_business,56745.76,235,4.09811320754717,265
food,46428.67,450,4.218181818181818,495
market_place,45335.92,280,4.019417475728155,309
costruction_tools_garden,42394.41,194,4.046218487394958,238
fashion_shoes,32422.74,240,4.248062015503876,258
furniture_bedroom,31598.94,95,4.1192660550458715,109
art,30992.93,202,3.9371980676328504,207
food_drink,27289.73,227,4.310469314079422,277
books_technical,24915.44,260,4.363636363636363,264
christmas_supplies,18994.77,128,4.02054794520548,146
fashion_male_clothing,17290.98,112,3.6412213740458017,131
fashion_underwear_beach,12714.539999999999,121,3.976923076923077,130
