payment_installments,avg_item_price,avg_order_value,order_count
1.0,89.01042028662657,142.62676171381898,47823
2.0,97.51249249908525,136.53734650567142,12291
3.0,107.9983006312916,155.610965705511,10371
4.0,125.1137902819738,180.4092258308157,7022
5.0,138.54495831943981,199.06735911970657,5188
6.0,155.5188092133855,236.91939808778793,3887
7.0,144.73026315789474,195.32370065789473,1611
8.0,235.94323471008735,312.66205718824466,4237
9.0,151.219173553719,205.17706611570247,635
10.0,290.859203630508,435.17455570194704,5261
12.0,226.8953374233129,325.6123926380368,131
