customer_state,avg_freight_ratio,total_order
RO,0.5941883934550972,247
MA,0.5493236498602754,740
PB,0.5115965607539515,532
RN,0.5063297997851223,482
PI,0.4998423428960397,493
TO,0.499459291315749,279
AM,0.49813648193868654,147
AL,0.474481964844492,411
PA,0.47359296511222454,970
SE,0.46494566748904437,345
PE,0.44999586422201937,1648
CE,0.4315407419025517,1327
BA,0.3949461421189615,3358
MT,0.3931781281728756,903
RS,0.35578698230482575,5432
ES,0.35225289271473775,2025
GO,0.35161321086488395,2007
SC,0.3460308216763379,3612
PR,0.3449556150048768,4998
DF,0.34308421722810595,2125
MS,0.3399975120219074,709
MG,0.33042760761515577,11544
RJ,0.32727232211491675,12762
SP,0.26540670495306873,41375
